List of Creatures by Experience to Hit Points Ratio (1896)
Name		Exp	HP	Exp/HP Ratio
The Armored Voidborn	The Armored Voidborn	?	60,000+	?
The Sandking	The Sandking	?	?	?
Leiden	Leiden	0?	30,000+?	?
Cult Believer	Cult Believer	850	975	0.872
Cult Enforcer	Cult Enforcer	1,000	1,150	0.87
Cult Scholar	Cult Scholar	1,100	1,650	0.667
Minotaur Cult Follower	Minotaur Cult Follower	950	1,600	0.594
Minotaur Cult Zealot	Minotaur Cult Zealot	1,350	1,800	0.75
Sphere of Wrath	Sphere of Wrath	0?	0?	?
Minotaur Idol	Minotaur Idol	?	?	?
Misguided Bully	Misguided Bully	1,200	2,000	0.6
Misguided Thief	Misguided Thief	1,200	1,800	0.667
The False God	The False God	50,000	300,000~	?
Roaring Lion	Roaring Lion	800	1,000	0.8
Sand Brood	Sand Brood	0	2,100	0
Enraged Sand Brood	Enraged Sand Brood	0	2,600	0
Sand Vortex	Sand Vortex	?	?	?
Vermin Swarm	Vermin Swarm	?	2,800~	?
The Sinister Hermit (Yellow)	The Sinister Hermit (Yellow)	?	?	?
The Sinister Hermit (Blue)	The Sinister Hermit (Blue)	0	?	?
Freed Soul	Freed Soul	?	?	?
Misguided Shadow	Misguided Shadow	1,500	3,000	0.5
Pillar of Draining	Pillar of Draining	0	?	?
Pillar of Healing	Pillar of Healing	0	7,300	0
Pillar of Summoning	Pillar of Summoning	0	?	?
Pillar of Death	Pillar of Death	0	?	?
Pillar of Protection	Pillar of Protection	0	?	?
Destroyed Pillar	Destroyed Pillar	0	0	?
Dread Minion	Dread Minion	0	2,500	0
Liquor Spirit	Liquor Spirit	0	?	?
Wine Cask (Creature)	Wine Cask (Creature)	0	?	?
Security Golem	Security Golem	0	?	?
Containment Machine	Containment Machine	0	6,500	0
Voidshard	Voidshard	0	?	?
Fox	Fox	15	22	0.682
Werefox	Werefox	1,600	1,500	1.067
Cave Devourer	Cave Devourer	2,380	4,500	0.529
Deepworm	Deepworm	2,300	3,500	0.657
Diremaw	Diremaw	2,500	3,600	0.694
Chasm Spawn	Chasm Spawn	2,700	4,500	0.6
Tunnel Tyrant	Tunnel Tyrant	3,400	5,200	0.654
Lava Lurker	Lava Lurker	4,000	5,900	0.678
Mole	Mole	100	200	0.5
Ghost of a Planegazer	Ghost of a Planegazer	1,100	1,450	0.759
Lost Exile	Lost Exile	1,800	1,600	1.125
Stonerefiner	Stonerefiner	500	800	0.625
Makeshift Home	Makeshift Home	1,800?	6,900?	?
Bloodback	Bloodback	4,000	5,200	0.769
Darkfang	Darkfang	4,000	4,800	0.833
Black Vixen	Black Vixen	3,200	3,200	1
Shadowpelt	Shadowpelt	4,600	6,000	0.767
Cave Spider	Cave Spider	2,000	1,800	1.111
The Count of the Core	The Count of the Core	?	500,000	?
Ancient Spawn of Morgathla	Ancient Spawn of Morgathla	?	?	?
Gnome Pack Crawler	Gnome Pack Crawler	?	?	?
Lost Gnome	Lost Gnome	0	10,000	0
Captured Dwarf	Captured Dwarf	?	?	?
Aggressive Lava	Aggressive Lava	?	?	?
Organic Matter	Organic Matter	?	?	?
Ember Beast	Ember Beast	0	?	?
Fiery Blood	Fiery Blood	0	25,000	0
Burrowing Beetle	Burrowing Beetle	?	?	?
Fiery Heart (Creature)	Fiery Heart (Creature)	?	7,500?	?
The Fire Empowered Duke	The Fire Empowered Duke	?	?	?
The Source of Corruption	The Source of Corruption	0?	0?	?
The Remorseless Corruptor	The Remorseless Corruptor	?	?	?
Zarcorix of Yalahar	Zarcorix of Yalahar	?	?	?
Soul Reaper	Soul Reaper	?	?	?
Stolen Soul	Stolen Soul	?	?	?
Dark Soul	Dark Soul	?	?	?
The Corruptor of Souls	The Corruptor of Souls	?	?	?
Containment Crystal	Containment Crystal	0	?	?
Dawn Bat	Dawn Bat	10	30	0.333
Last Planegazer	Last Planegazer	10,000?	50,000	?
Reflection of a Mage	Reflection of a Mage	3,250	3,500	0.929
Reflection of Mawhawk	Reflection of Mawhawk	14,000	45,000	0.311
Reflection of Obujos	Reflection of Obujos	20,000?	35,000?	?
Aggressive Matter	Aggressive Matter	0	3,000?	?
The Hungry Baron from Below	The Hungry Baron from Below	?	?	?
Snail Slime	Snail Slime	0	5,000	0
Fallen Challenger	Fallen Challenger	0	9,000	0
Unbeatable Dragon	Unbeatable Dragon	0	?	?
Somewhat Beatable Dragon	Somewhat Beatable Dragon	0	?	?
Dragon Essence	Dragon Essence	?	30,000+	?
Ravenous Lava Lurker	Ravenous Lava Lurker	4,000	5,000	0.8
Sword of Vengeance	Sword of Vengeance	?	?	?
Ravenous Hunger	Ravenous Hunger	?	?	?
Sparkion	Sparkion	1,520	2,700	0.563
Museum Stone Golem	Museum Stone Golem	160	270	0.593
Museum Stone Rhino	Museum Stone Rhino	1,800	3,000	0.6
Animated Ogre Shaman	Animated Ogre Shaman	625	800	0.781
Knowledge Elemental	Knowledge Elemental	10,603	10,500	1.01
Raxias	Raxias	900	1,100	0.818
Arctic Faun	Arctic Faun	300	300	1
Deathling Scout	Deathling Scout	6,300	7,200	0.875
Falcon Knight	Falcon Knight	5,985	9,000	0.665
Falcon Paladin	Falcon Paladin	6,544	8,500	0.77
Undead Elite Gladiator	Undead Elite Gladiator	4,740	8,000	0.593
Energetic Book	Energetic Book	12,034	18,500	0.65
Cursed Book	Cursed Book	13,345	20,000	0.667
Burning Book	Burning Book	11,934	18,000	0.663
Icecold Book	Icecold Book	12,750	21,000	0.607
Guardian of Tales	Guardian of Tales	9,204	15,000	0.614
Energuardian of Tales	Energuardian of Tales	11,361	14,000	0.812
Rage Squid	Rage Squid	14,820	17,000	0.872
Squid Warden	Squid Warden	15,300	16,500	0.927
Animated Feather	Animated Feather	9,860	13,000	0.758
Frost Flower Asura	Frost Flower Asura	4,200	3,500	1.2
True Dawnfire Asura	True Dawnfire Asura	7,475	8,500	0.879
True Frost Flower Asura	True Frost Flower Asura	7,069	4,000	1.767
Floating Savant	Floating Savant	8,000	8,000	1
Brain Squid	Brain Squid	17,672	18,000	0.982
Flying Book	Flying Book	200	500	0.4
Ink Blob	Ink Blob	14,450	9,500	1.521
Biting Book	Biting Book	9,350	6,500	1.438
Grand Canon Dominus	Grand Canon Dominus	11,000	15,000	0.733
Grand Commander Soeren	Grand Commander Soeren	12,000	17,000	0.706
Grand Chaplain Gaunder	Grand Chaplain Gaunder	14,000	18,000	0.778
Thawing Dragon Lord	Thawing Dragon Lord	2,100	25,000	0.084
Bone Jaw	Bone Jaw	0	4,500	0
Ghulosh' Deathgaze	Ghulosh' Deathgaze	0	?	?
Concentrated Death	Concentrated Death	0	?	?
Mean Minion	Mean Minion	0	?	?
Ghulosh	Ghulosh	45,000	?	?
Lokathmor	Lokathmor	55,000	?	?
Gorzindel	Gorzindel	55,000	?	?
Mazzinor	Mazzinor	55,000	?	?
Force Field	Force Field	0	?	?
Supercharged Mazzinor	Supercharged Mazzinor	?	?	?
Wild Knowledge	Wild Knowledge	0	?	?
Demon Blood	Demon Blood	0	?	?
Neutral Deepling Warrior	Neutral Deepling Warrior	1,500	1,600	0.938
Stolen Knowledge of Summoning	Stolen Knowledge of Summoning	0	?	?
Stolen Knowledge of Armor	Stolen Knowledge of Armor	0	?	?
Stolen Knowledge of Healing	Stolen Knowledge of Healing	0	?	?
Stolen Knowledge of Lifesteal	Stolen Knowledge of Lifesteal	0	?	?
Stolen Knowledge of Spells	Stolen Knowledge of Spells	0	?	?
Librarian	Librarian	0	11,000	0
Stolen Tome of Portals	Stolen Tome of Portals	0	?	?
Dark Knowledge	Dark Knowledge	0	?	?
Jailer	Jailer	45	65	0.692
Dazed Leaf Golem	Dazed Leaf Golem	8,000	10,000	0.8
Amarie (Creature)	Amarie (Creature)	?	?	?
Grodrik (Creature)	Grodrik (Creature)	?	?	?
Knowledge Raider	Knowledge Raider	0	?	?
Grand Master Oberon	Grand Master Oberon	20,000	30,000	0.667
Deathling Spellsinger	Deathling Spellsinger	6,400	7,200	0.889
Horse (Brown)	Horse (Brown)	0	75	0
Horse (Grey)	Horse (Grey)	0	75	0
Furious Scorpion	Furious Scorpion	12,000	15,000	0.8
Lava Lurker Attendant	Lava Lurker Attendant	?	?	?
The Spellstealer	The Spellstealer	?	?	?
The Blazing Rose	The Blazing Rose	10,000	?	?
The Lily of Night	The Lily of Night	10,000	19,000	0.526
The Book of Death	The Book of Death	0	7,800	0
Yalahari Despoiler	Yalahari Despoiler	0	?	?
Demon Slave	Demon Slave	?	?	?
Rift Minion	Rift Minion	0	?	?
Rift Breacher	Rift Breacher	0	?	?
Ravenous Beyondling	Ravenous Beyondling	0	?	?
Spawn of Havoc	Spawn of Havoc	0	?	?
Imp Intruder	Imp Intruder	?	?	?
Rift Spawn	Rift Spawn	0	?	?
The Scion of Havoc	The Scion of Havoc	?	?	?
Invading Demon	Invading Demon	0	?	?
Malicious Minion	Malicious Minion	0	4,000	0
The Scourge of Oblivion	The Scourge of Oblivion	75,000	?	?
Ice Dragon	Ice Dragon	2,300	2,500	0.92
Brother Chill	Brother Chill	?	?	?
Brother Freeze	Brother Freeze	?	?	?
The Devourer of Secrets	The Devourer of Secrets	?	?	?
War Servant	War Servant	0	?	?
Giant Spider	Giant Spider	900	1,300	0.692
Skeleton Elite Warrior	Skeleton Elite Warrior	4,500	7,800	0.577
Moohtant	Moohtant	2,600	3,200	0.813
Biting Cold	Biting Cold	0	?	?
The Book of Secrets	The Book of Secrets	?	8,000	?
Lloyd	Lloyd	~50,000	~64,000	?
Arachnophobica	Arachnophobica	4,700	5,000	0.94
Burster Spectre	Burster Spectre	6,000	6,500	0.923
Gazer Spectre	Gazer Spectre	4,200	4,500	0.933
Insane Siren	Insane Siren	6,000	6,500	0.923
Menacing Carnivor	Menacing Carnivor	2,112	3,500	0.603
Ripper Spectre	Ripper Spectre	3,500	3,800	0.921
Soul-Broken Harbinger	Soul-Broken Harbinger	5,800	6,300	0.921
Spiky Carnivor	Spiky Carnivor	1,650	2,800	0.589
Thanatursus	Thanatursus	6,300	7,200	0.875
Lumbering Carnivor	Lumbering Carnivor	1,452	2,600	0.558
Crazed Summer Rearguard	Crazed Summer Rearguard	4,700	5,300	0.887
Crazed Summer Vanguard	Crazed Summer Vanguard	5,000	5,500	0.909
Crazed Winter Rearguard	Crazed Winter Rearguard	4,700	5,200	0.904
Crazed Winter Vanguard	Crazed Winter Vanguard	5,400	5,800	0.931
Hibernal Moth	Hibernal Moth	700	850	0.824
Lacewing Moth	Lacewing Moth	800	900	0.889
Faceless Bane	Faceless Bane	14,000	17,000	0.824
Lucifuga Aranea	Lucifuga Aranea	10,000	12,000	0.833
The Nightmare Beast	The Nightmare Beast	255,000	?	?
Alptramun	Alptramun	55,000	?	?
Izcandar the Banished	Izcandar the Banished	?	?	?
Izcandar Champion of Winter	Izcandar Champion of Winter	55,000	?	?
Izcandar Champion of Summer	Izcandar Champion of Summer	?	?	?
Malofur Mangrinder	Malofur Mangrinder	?	?	?
The Cold of Winter	The Cold of Winter	0	?	?
The Heat of Summer	The Heat of Summer	0	?	?
Nightmare Tendril	Nightmare Tendril	0	?	?
Desperate Soul	Desperate Soul	?	?	?
The Shatterer	The Shatterer	?	?	?
Plagueroot	Plagueroot	55,000	?	?
Maxxenius	Maxxenius	55,000	?	?
The Unarmored Voidborn	The Unarmored Voidborn	15,000	250,000	0.06
Essence of Malice	Essence of Malice	150,000	250,000	0.6
The Duke of the Depths	The Duke of the Depths	?	?	?
The Souldespoiler	The Souldespoiler	50,000	290,000	0.172
The Baron from Below	The Baron from Below	?	?	?
Animated Snowman	Animated Snowman	400	450	0.889
Baleful Bunny	Baleful Bunny	450	500	0.9
Wyrm	Wyrm	1,550	1,825	0.849
Percht	Percht	600	620	0.968
Schiach	Schiach	580	600	0.967
Bonny Bunny	Bonny Bunny	0	200	0
Warm Fire	Warm Fire	?	?	?
Percht Minion	Percht Minion	?	?	?
The Percht Queen	The Percht Queen	500	2,300	0.217
Plant Abomination	Plant Abomination	0	3,900	0
Plant Attendant	Plant Attendant	0	?	?
Horrible Dream	Horrible Dream	0	?	?
Nightmarish Dream	Nightmarish Dream	0	?	?
Mind-Wrecking Dream	Mind-Wrecking Dream	0	?	?
Unpleasant Dream	Unpleasant Dream	0	?	?
Whirling Blades	Whirling Blades	0	?	?
Goblin Leader	Goblin Leader	75	50	1.5
Hellflayer	Hellflayer	11,720	14,000	0.837
The Fettered Shatterer	The Fettered Shatterer	?	?	?
Barkless Fanatic	Barkless Fanatic	2,500	3,200	0.781
Vortex Spawn	Vortex Spawn	0	500	0
Murderous Ghost	Murderous Ghost	0	1,500	0
Death Reaper	Death Reaper	?	?	?
Dreadful Disruptor	Dreadful Disruptor	14,000	10,000?	?
Gryphon	Gryphon	1,000	3,200	0.313
Lamassu	Lamassu	9,000	8,700	1.034
Manticore	Manticore	4,750	6,700	0.709
Sphinx	Sphinx	6,980	8,500	0.821
Urmahlullu the Immaculate	Urmahlullu the Immaculate	?	120,000?	?
Cobra Assassin	Cobra Assassin	6,980	8,200	0.851
Cobra Scout	Cobra Scout	7,310	8,500	0.86
Cobra Vizier	Cobra Vizier	7,650	8,500	0.9
Black Sphinx Acolyte	Black Sphinx Acolyte	7,200	8,100	0.889
Feral Sphinx	Feral Sphinx	8,450	9,800	0.862
Crypt Warden	Crypt Warden	8,400	8,300	1.012
Young Goanna	Young Goanna	5,250	6,950	0.755
Adult Goanna	Adult Goanna	6,180	8,300	0.745
Priestess of the Wild Sun	Priestess of the Wild Sun	6,400	8,500	0.753
Bragrumol	Bragrumol	18,000	38,000	0.474
Xogixath	Xogixath	22,000	?	?
Ogre Ruffian	Ogre Ruffian	5,000	5,500	0.909
Ogre Rowdy	Ogre Rowdy	4,200	4,500	0.933
Ogre Sage	Ogre Sage	5,500	4,800	1.146
Mozradek	Mozradek	21,000	28,000	0.75
Sun-Marked Goanna	Sun-Marked Goanna	7,600	7,800	0.974
Count Vlarkorth	Count Vlarkorth	?	?	?
Custodian	Custodian	27,500	47,000	0.585
Gaffir	Gaffir	25,000	48,500	0.515
Duke Krule	Duke Krule	55,000	?	?
Sir Nictros	Sir Nictros	55,000	?	?
Sir Baeloc	Sir Baeloc	55,000	?	?
Earl Osam	Earl Osam	55,000	?	?
Scarlett Etzel	Scarlett Etzel	20,000	30,000	0.667
Earworm	Earworm	2,000	4,000	0.5
King Zelos	King Zelos	?	400,000?	?
Wildness of Urmahlullu	Wildness of Urmahlullu	?	?	?
Wisdom of Urmahlullu	Wisdom of Urmahlullu	?	?	?
Urmahlullu the Tamed	Urmahlullu the Tamed	?	?	?
Cart Packed with Gold	Cart Packed with Gold	0	10,000	0
Soulless Minion	Soulless Minion	?	?	?
Lord Azaram	Lord Azaram	55,000	?	?
Dark Paladin	Dark Paladin	?	?	?
Dark Knight	Dark Knight	?	?	?
Dark Sorcerer	Dark Sorcerer	?	?	?
Dark Druid	Dark Druid	?	?	?
Burning Gladiator	Burning Gladiator	7,350	10,000	0.735
Cow	Cow	400	700	0.571
Orger	Orger	550	700	0.786
Bellicose Orger	Bellicose Orger	500	700	0.714
Loricate Orger	Loricate Orger	570	750	0.76
Roast Pork	Roast Pork	280	420	0.667
Ugly Monster	Ugly Monster	1,000	10,000	0.1
Annoying Dog	Annoying Dog			?
Eating Dog	Eating Dog	--	--	?
Flimsy Lost Soul	Flimsy Lost Soul	4,500	4,000	1.125
Mean Lost Soul	Mean Lost Soul	5,580	5,000	1.116
Freakish Lost Soul	Freakish Lost Soul	7,020	7,000	1.003
Brain Head	Brain Head	?	?	?
Evil Prospector	Evil Prospector	9,000	8,500	1.059
Cursed Prospector	Cursed Prospector	5,250	3,900	1.346
Guard Captain Quaid	Guard Captain Quaid	28,000	55,000	0.509
Cerebellum	Cerebellum	?	?	?
Unaz the Mean	Unaz the Mean	22,000	28,000	0.786
Irgix the Flimsy	Irgix the Flimsy	18,000	24,000	0.75
Vok the Freakish	Vok the Freakish	27,000	32,000	0.844
Thaian	Thaian	9,000	50,000	0.18
Thaian's Ghost	Thaian's Ghost	4,500	5,000	0.9
The Unwelcome	The Unwelcome	?	?	?
Wormling	Wormling	?	?	?
Brother Worm	Brother Worm	?	?	?
The Dread Maiden	The Dread Maiden	72,000	300,000	0.24
Red Soul Stealer	Red Soul Stealer	?	?	?
Green Soul Stealer	Green Soul Stealer	?	?	?
Blue Soul Stealer	Blue Soul Stealer	?	?	?
The Fear Feaster	The Fear Feaster	?	?	?
Horror	Horror	?	?	?
Fear	Fear	?	?	?
Phobia	Phobia	?	?	?
Symbol of Fear	Symbol of Fear	?	?	?
Empty	Empty	?	?	?
Innocent Soul	Innocent Soul	?	?	?
Greed Worm	Greed Worm	?	?	?
The Pale Worm	The Pale Worm	80,000	?	?
Hunger Worm	Hunger Worm	?	?	?
A Weak Spot	A Weak Spot	?	?	?
Wandering Prospector	Wandering Prospector	?	?	?
Bad Thought	Bad Thought	0	500	0
Rewar the Bloody	Rewar the Bloody	?	?	?
Risen Soldier	Risen Soldier	0	6,000	0
Fetter	Fetter	0	5,500	0
The Red Knight	The Red Knight	0	?	?
Magnor Mournbringer	Magnor Mournbringer	0	?	?
Shard of Magnor	Shard of Magnor	0	?	?
Vampiric Blood	Vampiric Blood	0	3,500	0
Regenerating Mass	Regenerating Mass	0	?	?
Unleashed Hex	Unleashed Hex	0	?	?
Condensed Sin	Condensed Sin	0	?	?
Azaram's Soul	Azaram's Soul	0	?	?
Tainted Soul Splinter	Tainted Soul Splinter	0	?	?
Frozen Soul	Frozen Soul	0	?	?
Magical Sphere	Magical Sphere	0	?	?
Squire of Nictros	Squire of Nictros	0	?	?
Retainer of Baeloc	Retainer of Baeloc	0	?	?
Soul Scourge	Soul Scourge	0	?	?
Nargol the Impaler	Nargol the Impaler	0	?	?
Animated Moohtant	Animated Moohtant	2,600	3,200	0.813
The Lord of the Lice	The Lord of the Lice	0	80,000	0
Animated Skunk	Animated Skunk	3?	20?	?
Nightmare	Nightmare	1,800	2,700	0.667
Hunter	Hunter	150	150	1
King Chuck	King Chuck	?	?	?
The Great Schnitzel	The Great Schnitzel	0	110,000	0
Fat Porker	Fat Porker	?	20,000	?
Orger Treasure	Orger Treasure	0	50,000	0
Spawn of the Schnitzel	Spawn of the Schnitzel	0	1,000	0
Black Cobra	Black Cobra	0	10,000+	?
Greater Canopic Jar	Greater Canopic Jar	0	7,000	0
Planestrider	Planestrider	9,000?	30,000+	?
Lost Ghost of a Planegazer	Lost Ghost of a Planegazer	?	?	?
Planedweller	Planedweller	?	?	?
Aggressive Chicken	Aggressive Chicken	0	15,000	0
Agrestic Chicken	Agrestic Chicken	0	15	0
Bony Sea Devil	Bony Sea Devil	17,328	24,000	0.722
Brachiodemon	Brachiodemon	15,770	25,000	0.631
Branchy Crawler	Branchy Crawler	17,324	27,000	0.642
Cloak of Terror	Cloak of Terror	19,700	28,000	0.704
Courage Leech	Courage Leech	18,900	27,000	0.7
Infernal Demon	Infernal Demon	17,430	32,000	0.545
Many Faces	Many Faces	18,870	30,000	0.629
Monk of the Order	Monk of the Order	200	240	0.833
Rotten Golem	Rotten Golem	17,324	28,000	0.619
Turbulent Elemental	Turbulent Elemental	17,230	28,000	0.615
White Lion	White Lion	2,300	2,700	0.852
Werehyaena	Werehyaena	2,200	2,700	0.815
Werehyaena Shaman	Werehyaena Shaman	2,200	2,500	0.88
Vibrant Phantom	Vibrant Phantom	19,700	27,000	0.73
Capricious Phantom	Capricious Phantom	17,230	30,000	0.574
Infernal Phantom	Infernal Phantom	15,770	26,000	0.607
Mould Phantom	Mould Phantom	17,780	28,000	0.635
Distorted Phantom	Distorted Phantom	18,870	26,000	0.726
Ancient Lion Archer	Ancient Lion Archer	?	?	?
Ancient Lion Knight	Ancient Lion Knight	8,100	9,100	0.89
Ancient Lion Warlock	Ancient Lion Warlock	?	?	?
Lion Archer	Lion Archer	0	7,300	0
Lion Knight	Lion Knight	0	8,200	0
Lion Warlock	Lion Warlock	0	7,500	0
Usurper Archer	Usurper Archer	6,800	7,300	0.932
Usurper Knight	Usurper Knight	6,900	8,200	0.841
Usurper Warlock	Usurper Warlock	7,000	7,500	0.933
Druid's Apparition	Druid's Apparition	18,870	25,000	0.755
Knight's Apparition	Knight's Apparition	18,870	25,000	0.755
Paladin's Apparition	Paladin's Apparition	18,870	25,000	0.755
Sorcerer's Apparition	Sorcerer's Apparition	18,870	25,000	0.755
Goshnar's Cruelty	Goshnar's Cruelty	75,000	?	?
Goshnar's Greed	Goshnar's Greed	150,000	?	?
Goshnar's Hatred	Goshnar's Hatred	75,000	?	?
Goshnar's Malice	Goshnar's Malice	75,000	?	?
Goshnar's Megalomania	Goshnar's Megalomania	?	?	?
Goshnar's Spite	Goshnar's Spite	75,000	?	?
Hazardous Phantom	Hazardous Phantom	66,000	70,000	0.943
Mirror Image	Mirror Image	27,000	35,000	0.771
Fugue	Fugue	23,000	32,000	0.719
Usurper Commander	Usurper Commander	7,200	8,500	0.847
Drume	Drume	25,000	35,000	0.714
Katex Blood Tongue	Katex Blood Tongue	5,000	6,300	0.794
Srezz Yellow Eyes	Srezz Yellow Eyes	4,800	6,200	0.774
Utua Stone Sting	Utua Stone Sting	5,100	6,400	0.797
Yirkas Blue Scales	Yirkas Blue Scales	4,900	6,300	0.778
Crypt Warrior	Crypt Warrior	5,500	7,800	0.705
Kesar	Kesar	?	?	?
Hardened Usurper Archer	Hardened Usurper Archer	0	7,300	0
Hardened Usurper Knight	Hardened Usurper Knight	0	8,200	0
Hardened Usurper Warlock	Hardened Usurper Warlock	0	7,500	0
Lion Commander	Lion Commander	0	8,500	0
True Midnight Asura	True Midnight Asura	7,313	9,000	0.813
Strange Rat	Strange Rat	?	?	?
Angry King Chuck	Angry King Chuck	?	?	?
Food Wagon	Food Wagon	?	?	?
Celebrating Orger	Celebrating Orger	?	?	?
Slowing Slime	Slowing Slime	--	--	?
Used Food Wagon	Used Food Wagon	?	?	?
Damned Soul	Damned Soul	1	800	0.001
Quara Constrictor Scout	Quara Constrictor Scout	200	450	0.444
Bone Capsule	Bone Capsule	?	?	?
Blood Tear	Blood Tear	0	3,500	0
Channeling Earl Osam	Channeling Earl Osam	0	?	?
Mezlon the Defiler	Mezlon the Defiler	50,000	?	?
The Last Lore Keeper	The Last Lore Keeper	45,000?	?	?
Exotic Cave Spider	Exotic Cave Spider	1,400	1,900	0.737
Exotic Bat	Exotic Bat	1,200	1,500	0.8
Angry Elemental	Angry Elemental	0	7,000	0
Pirat Cutthroat	Pirat Cutthroat	1,800	2,600	0.692
Pirat Bombardier	Pirat Bombardier	1,700	2,300	0.739
Pirat Mate	Pirat Mate	2,400	3,200	0.75
Werelioness	Werelioness	2,300	3,000	0.767
Spyrat (Facing South)	Spyrat (Facing South)	2,500	3,000	0.833
Spyrat (Facing North)	Spyrat (Facing North)	2,500	3,000	0.833
Spyrat (Facing East)	Spyrat (Facing East)	2,500	3,000	0.833
Spyrat (Facing West)	Spyrat (Facing West)	2,500	3,000	0.833
Tentugly's Head	Tentugly's Head	40,000	?	?
The Hungerer	The Hungerer	1,700	2,000	0.85
Greedbeast	Greedbeast			?
Spy Rat	Spy Rat	?	?	?
Cheese Thief	Cheese Thief	0	1,100	0
Ratmiral Blackwhiskers	Ratmiral Blackwhiskers	?	?	?
Pirat Guard	Pirat Guard	?	?	?
Pirat Patrol	Pirat Patrol	?	?	?
Gust of Wind	Gust of Wind	?	?	?
Sea Serpent (Journey)	Sea Serpent (Journey)	?	?	?
Quara Saboteur	Quara Saboteur	0	7,000	0
Mean Termite	Mean Termite	0	4,300	0
Holy Bog Frog	Holy Bog Frog	0	25	0
Tentacle	Tentacle	0	2,500	0
Ogre Shaman	Ogre Shaman	625	800	0.781
Samael	Samael	?	?	?
Servant of Tentugly	Servant of Tentugly	?	?	?
Ghastly Dragon	Ghastly Dragon	4,600	7,800	0.59
Gravedigger	Gravedigger	950	1,500	0.633
Human (Creature)	Human (Creature)	50	150	0.333
Mystic Energy	Mystic Energy	--	--	?
Dreadful Harvester	Dreadful Harvester	?	?	?
Malicious Soul	Malicious Soul	?	?	?
Weak Soul	Weak Soul	?	?	?
Soulsnatcher	Soulsnatcher	?	?	?
Strong Soul	Strong Soul	?	?	?
Powerful Soul	Powerful Soul	?	?	?
Weeping Soul	Weeping Soul	?	?	?
Spiteful Spitter	Spiteful Spitter	?	?	?
Poor Soul	Poor Soul	?	1,000	?
Mean Maw	Mean Maw	?	?	?
A Greedy Eye	A Greedy Eye	?	?	?
Hateful Soul	Hateful Soul	?	?	?
Symbol of Hatred	Symbol of Hatred	?	?	?
Soul Sphere	Soul Sphere	?	15.000	?
Aspect of Power	Aspect of Power			?
Lavaworm	Lavaworm	6,500	7,500	0.867
Tremendous Tyrant	Tremendous Tyrant	6,950	11,500	0.604
Varnished Diremaw	Varnished Diremaw	6,300	9,000	0.7
Eyeless Devourer	Eyeless Devourer	6,000	10,000	0.6
Blemished Spawn	Blemished Spawn	5,300	9,000	0.589
Afflicted Strider	Afflicted Strider	6,550	10,000	0.655
Lavafungus	Lavafungus	6,200	7,200	0.861
Cave Chimera	Cave Chimera	6,800	8,000	0.85
Girtablilu Warrior	Girtablilu Warrior	5,800	8,500	0.682
Venerable Girtablilu	Venerable Girtablilu	5,300	8,500	0.624
Bashmu	Bashmu	5,000	8,200	0.61
Juvenile Bashmu	Juvenile Bashmu	4,500	7,500	0.6
Hulking Carnisylvan	Hulking Carnisylvan	4,700	8,600	0.547
Poisonous Carnisylvan	Poisonous Carnisylvan	4,400	8,000	0.55
Dark Carnisylvan	Dark Carnisylvan	4,400	7,500	0.587
Carnisylvan Sapling	Carnisylvan Sapling	0	750	0
The Brainstealer	The Brainstealer	?	?	?
Spider	Spider	12	20	0.6
Domestikion	Domestikion	0	750	0
Hoodinion	Hoodinion	0	800	0
Mearidion	Mearidion	0	850	0
Murmillion	Murmillion	0	1,100	0
Scissorion	Scissorion	0	950	0
The Mega Magmaoid	The Mega Magmaoid	80,000	?	?
Haunted Treeling	Haunted Treeling	310	450	0.689
Leaf Golem	Leaf Golem	45	90	0.5
Abominable Spawn	Abominable Spawn	?	?	?
Glowing Lava	Glowing Lava			?
Neferi the Spy	Neferi the Spy	19,650	28,000	0.702
Amenef the Burning	Amenef the Burning	21,500	26,000	0.827
Sister Hetai	Sister Hetai	20,500	25,000	0.82
Lonely Frazzlemaw	Lonely Frazzlemaw	?	?	?
Lonely Deer	Lonely Deer	?	?	?
Lonely Snake	Lonely Snake	?	?	?
Lonely Yielothax	Lonely Yielothax	?	?	?
Lonely Rotworm	Lonely Rotworm	?	?	?
Lonely Scorpion	Lonely Scorpion	?	?	?
Lonely Polar Bear	Lonely Polar Bear	?	?	?
Lonely Souleater	Lonely Souleater	?	?	?
Lesser Splinter of Madness	Lesser Splinter of Madness	?	?	?
Greater Splinter of Madness	Greater Splinter of Madness	?	?	?
Mighty Splinter of Madness	Mighty Splinter of Madness	?	?	?
Magma Fiend	Magma Fiend	0	1,600	0
Instable Fire	Instable Fire	0	1,000	0
Raccoon Supplies	Raccoon Supplies	?	?	?
Enusat the Onyx Wing	Enusat the Onyx Wing	21,500	25,000	0.86
Megasylvan Yselda	Megasylvan Yselda	19,900	32,000	?
Thieving Squirrel	Thieving Squirrel	15	55	0.273
Fleeting Thought	Fleeting Thought	0	?	?
Brain Parasite	Brain Parasite	0	?	?
Mental-Nexus	Mental-Nexus	0	?	?
Morshabaal	Morshabaal	?	1,000,000	?
Lord Retro	Lord Retro	0	2,500	0
Time Travelling Tourist	Time Travelling Tourist	?	?	?
Unexpected	Unexpected	1,800	3,500	0.514
Unsolicited	Unsolicited	1,750	3,700	0.473
Unwanted	Unwanted	1,720	3,750	0.459
Retros Treasure	Retros Treasure	0	37,500	0
